Joule_heating,Points_0,Points_1,Points_2
5.51329,0.000434859,0.0285156,0.0248093
5.51261,0.000145458,0.0267057,0.0243005
5.51242,0.000347099,0.0268969,0.0244552
5.51241,-1.0842000000000001e-19,0.0282475,0.0245
5.51215,0.000331819,0.0210088,0.0249709
5.51094,0.00136687,0.0237586,0.025
5.50918,0.0,0.0244695,0.024135
5.50867,0.000306984,0.02713,0.0244603
5.50804,0.000117026,0.0234901,0.0243107
5.50615,9.10159e-05,0.0279913,0.0244905
5.50606,0.000402637,0.0225633,0.0246266
5.50545,-1.0842000000000001e-19,0.0221438,0.0245
5.50414,1.22736e-05,0.0286322,0.0246101
5.50392,0.000464529,0.0254972,0.0244134
5.50346,0.000116446,0.02257,0.0244652
5.50344,0.0,0.0246657,0.0241182
5.50274,0.000374443,0.0282664,0.0247111
5.50212,0.000454792,0.0275331,0.0246058
5.50184,0.000151782,0.0236451,0.0243087
5.50122,0.0,0.023895,0.0241743
5.50095,0.000507772,0.0242244,0.0244669
5.50072,0.000463101,0.0238159,0.024475
5.50022,0.0,0.0226771,0.0243551
5.50011,0.0,0.0259023,0.02412
5.49967,0.000415789,0.0251106,0.0243746
5.49913,0.0013421,0.0233525,0.025
5.49901,0.00070698,0.0213944,0.025
5.49892,0.000242412,0.0282503,0.024633
5.49863,0.000185374,0.0262193,0.0242646
5.49827,0.000196151,0.0293693,0.0248971
5.49702,1.99208e-05,0.0216663,0.0246397
