Points_0,Points_1,Points_2,Temperature
0.0165835,0.0445502,0.00525738,33.0654
0.0196869,0.0441793,0.0117416,34.2686
0.0105665,0.0234333,0.0123117,36.2808
0.0108473,0.0434439,0.0127848,34.9216
0.010012,0.0446651,0.00965381,34.1502
0.017989,0.0445258,0.00599177,33.1843
0.015041,0.0445753,0.00500017,33.0435
0.0110657,0.0446704,0.00691437,33.5557
0.0105675,0.0249976,0.0123137,36.2693
0.0105739,0.0359338,0.0123259,35.8353
0.0109181,0.00551924,0.00711248,33.7275
0.0194281,0.0281217,0.0123221,35.6614
0.0105779,0.0375001,0.0123334,35.6644
0.0194452,0.010866,0.0122891,35.354
0.0194273,0.0234368,0.0123236,35.7541
0.0194256,0.0312364,0.0123269,35.5746
0.0105707,0.0312501,0.0123197,36.1298
0.0103307,0.044685,0.00821182,33.8465
0.0194339,0.0171727,0.0123109,35.7756
0.0102085,0.00555269,0.00857128,34.0582
0.0198117,0.0444896,0.00864068,33.6515
0.0120363,0.00550225,0.00597301,33.4556
0.0105921,0.00935727,0.0123602,35.4316
0.0194283,0.0218733,0.0123217,35.7773
0.0194319,0.0187424,0.0123147,35.7933
0.01942,0.00776487,0.0123374,34.9599
0.0105689,0.0265612,0.0123162,36.2511
0.0195057,0.0390467,0.0121675,34.9451
0.0105706,0.0328114,0.0123196,36.0584
0.0105664,0.0187347,0.0123115,36.2385
0.0105678,0.0155897,0.0123142,36.1143
0.0105639,0.0124334,0.0123068,35.8324
0.0196624,0.0423447,0.0118061,34.4584
0.0194253,0.0343469,0.0123275,35.4258
0.0105257,0.00679731,0.0122318,35.039
0.0194278,0.0265617,0.0123227,35.6962
0.0194354,0.0155989,0.012308,35.7287
0.019344,0.00632059,0.0124759,34.816
0.0105854,0.0390747,0.0123476,35.4592
0.0121576,0.0446359,0.00588649,33.314
0.0194592,0.0374646,0.0122618,35.1519
0.01057,0.0281243,0.0123183,36.2245
0.010107,0.0210788,0.0110288,35.7487
0.0114336,0.00690026,0.00649561,33.6219
0.01991,0.0381746,0.0109444,34.6328
0.0198845,0.0335465,0.0110686,34.9856
0.0198738,0.00678402,0.0111162,34.5322
0.0157933,0.00689076,0.00506334,33.1951
0.0198931,0.0163766,0.0110284,35.2172
0.0101076,0.0179348,0.0110317,35.666
0.0101103,0.0147831,0.0110444,35.5205
0.0199991,0.0430727,0.00990771,33.9681
0.0199728,0.00725397,0.00947909,34.157
0.0101093,0.0273425,0.0110397,35.7254
0.0101052,0.00993149,0.0110204,35.0677
0.0101177,0.0382788,0.0110786,35.1208
0.0101102,0.0289067,0.0110441,35.6898
0.0198884,0.0304512,0.0110506,35.1063
0.0199024,0.0100096,0.0109829,34.8019
0.0101237,0.0398842,0.0111051,34.9539
0.0185639,0.00698351,0.00649302,33.4875
0.0198883,0.0257808,0.0110509,35.2248
0.0100269,0.00712883,0.00948243,34.3583
0.0101098,0.0335911,0.0110423,35.4965
0.0158066,0.0432029,0.00506549,33.0633
0.0128205,0.0432713,0.00550001,33.2459
0.0198893,0.0288983,0.0110462,35.1536
0.0101069,0.0226467,0.0110283,35.7599
0.0194818,0.00701622,0.00778336,33.7611
0.0100088,0.0432821,0.0102969,34.3899
0.0198937,0.0366313,0.0110255,34.7812
0.0172959,0.00693469,0.00555828,33.2885
0.0142113,0.00687009,0.0050626,33.2269
0.0101134,0.0416908,0.0110586,34.7334
0.0102822,0.0432996,0.0116561,34.7074
0.0198926,0.0132111,0.011031,35.0739
0.0100895,0.00660622,0.0109417,34.6968
0.0198935,0.0147935,0.0110263,35.1598
0.0198861,0.0350934,0.0110611,34.8961
0.0101073,0.0242138,0.0110305,35.7596
0.017302,0.043173,0.00556145,33.1347
0.0142662,0.0432342,0.00505414,33.1012
0.0101086,0.0163605,0.0110363,35.6013
0.010111,0.0351491,0.0110476,35.3976
0.0198891,0.0273413,0.0110473,35.1919
0.0101134,0.0367099,0.0110589,35.2727
0.019896,0.0116157,0.0110145,34.9535
0.0198879,0.0242189,0.0110526,35.2497
0.0198893,0.0210909,0.0110461,35.2729
0.0198864,0.0320027,0.0110597,35.0514
0.0101104,0.0304701,0.0110448,35.6405
0.0105131,0.00691276,0.00779375,33.9424
0.0195547,0.043114,0.00793724,33.5662
0.0127091,0.00687898,0.00555571,33.3733
0.0198883,0.0226557,0.0110508,35.2664
0.019981,0.0413491,0.0104354,34.2135
0.0198908,0.0195243,0.0110395,35.2693
0.0199061,0.00838104,0.0109644,34.64
0.0101083,0.0257788,0.0110349,35.7474
0.0199411,0.0397406,0.0107652,34.4404
0.0185983,0.0431471,0.00652838,33.3049
0.0101044,0.0115721,0.0110166,35.2354
0.0198921,0.0179541,0.0110333,35.2519
0.0101073,0.0195097,0.0110305,35.7168
0.0101348,0.00815709,0.0111532,34.9121
0.0106794,0.0433726,0.00748351,33.7392
0.0115928,0.0433175,0.0063406,33.4661
0.01011,0.0320319,0.0110428,35.5766
0.0101098,0.0131871,0.011042,35.3984
0.0101354,0.0433663,0.00884435,34.0537
0.0100089,0.012355,0.009702,34.8325
0.0100103,0.0265605,0.00967991,35.1934
0.0100095,0.031254,0.00969212,35.0767
0.012032,0.00828522,0.00597618,33.5281
0.0199864,0.0107687,0.00963089,34.4293
0.0199933,0.0342855,0.00974099,34.49
0.0100134,0.00900211,0.00963394,34.5561
0.019989,0.0155684,0.00966825,34.6776
0.0199887,0.0373167,0.00966412,34.3038
0.0199912,0.0312187,0.00970319,34.6056
0.0199911,0.0218756,0.00970121,34.7743
0.0179493,0.0417853,0.00596251,33.2442
0.0199905,0.0296704,0.00969154,34.6536
0.0165632,0.00830365,0.00525063,33.2543
0.0199891,0.0139694,0.00967011,34.6201
0.0100111,0.0218566,0.00966715,35.2073
0.0197253,0.00837993,0.00836563,33.9602
0.0100099,0.0328139,0.00968503,35.011
0.0149944,0.0082528,0.005,33.2172
0.0100034,0.0405446,0.00981608,34.5091
0.0100105,0.0171239,0.00967578,35.0861
0.0190878,0.0417747,0.00712082,33.4625
0.0199923,0.0327567,0.00972348,34.5514
0.0199924,0.0358133,0.00972493,34.4078
0.0100112,0.0234266,0.00966612,35.2134
0.0199898,0.0187398,0.00968096,34.7516
0.0135043,0.0419004,0.00522897,33.1968
0.0100096,0.0281258,0.00969005,35.17
0.019991,0.0265607,0.00969939,34.7274
0.0100099,0.0343693,0.0096853,34.935
0.011103,0.0420161,0.00686741,33.6504
0.0121642,0.0419438,0.00588199,33.3922
0.0199905,0.0281173,0.00969181,34.6972
0.0100079,0.0139684,0.00971826,34.9482
0.010009,0.0359218,0.00969988,34.8389
0.0199912,0.0123903,0.00970288,34.5532
