Block Name,Point ID,FamilyIdNode,Points_0,Points_1,Points_2,Points_Magnitude,Temperature
dataset_1,214,7,0.0197553,0.05,0.0115451,0.0549869,33.9532
dataset_1,215,7,0.02,0.05,0.01,0.0547723,33.7259
dataset_1,216,7,0.0197553,0.05,0.00845492,0.054422,33.4948
dataset_1,217,7,0.0190451,0.05,0.00706107,0.0539683,33.2828
dataset_1,218,7,0.0179389,0.05,0.00595492,0.0534534,33.1114
dataset_1,219,7,0.0165451,0.05,0.00524472,0.0529268,33.0074
dataset_1,220,7,0.015,0.05,0.005,0.0524404,32.996
dataset_1,221,7,0.0134549,0.05,0.00524472,0.0520437,33.088
dataset_1,222,7,0.0120611,0.05,0.00595492,0.0517777,33.2711
dataset_1,223,7,0.0109549,0.05,0.00706107,0.0516708,33.5042
dataset_1,224,7,0.0102447,0.05,0.00845492,0.0517343,33.77
dataset_1,225,7,0.01,0.05,0.01,0.0519615,34.0327
dataset_1,226,7,0.0102447,0.05,0.0115451,0.0523282,34.2638
dataset_1,227,7,0.0109549,0.05,0.0129389,0.0527961,34.422
dataset_1,228,7,0.0120611,0.05,0.0140451,0.0533173,34.4903
dataset_1,229,7,0.0134549,0.05,0.0147553,0.0538401,34.4607
dataset_1,230,7,0.0165451,0,0.0147553,0.0221689,34.6408
dataset_1,231,7,0.0179389,0,0.0140451,0.0227831,34.5915
dataset_1,232,7,0.0190451,0,0.0129389,0.0230246,34.4633
dataset_1,233,7,0.0197553,0,0.0115451,0.0228814,34.253
dataset_1,234,7,0.02,0,0.01,0.0223607,33.9945
dataset_1,235,7,0.0197553,0,0.00845492,0.0214885,33.7272
dataset_1,236,7,0.0190451,0,0.00706107,0.0203119,33.4823
dataset_1,237,7,0.0179389,0,0.00595492,0.0189015,33.2816
dataset_1,238,7,0.0165451,0,0.00524472,0.0173565,33.1551
dataset_1,239,7,0.015,0,0.005,0.0158114,33.1233
dataset_1,240,7,0.0134549,0,0.00524472,0.014441,33.207
dataset_1,241,7,0.0120611,0,0.00595492,0.013451,33.3848
dataset_1,242,7,0.0109549,0,0.00706107,0.0130334,33.6203
dataset_1,243,7,0.0102447,0,0.00845492,0.0132831,33.8924
dataset_1,244,7,0.01,0,0.01,0.0141421,34.1779
dataset_1,245,7,0.0102447,0,0.0115451,0.0154351,34.4393
dataset_1,246,7,0.0109549,0,0.0129389,0.0169536,34.6231
dataset_1,247,7,0.0120611,0,0.0140451,0.0185131,34.7174
dataset_1,248,7,0.0134549,0,0.0147553,0.0199688,34.7297
dataset_1,249,7,0.015,0.0015625,0.015,0.0212707,34.7382
dataset_1,250,7,0.015,0.003125,0.015,0.0214421,34.8794
dataset_1,251,7,0.015,0.0046875,0.015,0.0217249,35.1124
dataset_1,252,7,0.015,0.00625,0.015,0.0221148,35.4329
dataset_1,253,7,0.015,0.0078125,0.015,0.0226061,35.8203
dataset_1,254,7,0.015,0.009375,0.015,0.0231925,36.2362
dataset_1,255,7,0.015,0.0109375,0.015,0.0238669,36.6311
dataset_1,256,7,0.015,0.0125,0.015,0.0246221,36.9177
dataset_1,257,7,0.015,0.0140625,0.015,0.025451,37.0812
dataset_1,258,7,0.015,0.015625,0.015,0.0263465,37.1563
dataset_1,259,7,0.015,0.0171875,0.015,0.0273022,37.1528
dataset_1,260,7,0.015,0.01875,0.015,0.0283119,37.1155
dataset_1,261,7,0.015,0.0203125,0.015,0.02937,37.0598
dataset_1,262,7,0.015,0.021875,0.015,0.0304716,37.0017
dataset_1,263,7,0.015,0.0234375,0.015,0.031612,36.9498
dataset_1,264,7,0.015,0.025,0.015,0.0327872,36.9151
dataset_1,265,7,0.015,0.0265625,0.015,0.0339936,36.8927
dataset_1,266,7,0.015,0.028125,0.015,0.0352281,36.8823
dataset_1,267,7,0.015,0.0296875,0.015,0.0364876,36.8822
dataset_1,268,7,0.015,0.03125,0.015,0.0377699,36.8767
dataset_1,269,7,0.015,0.0328125,0.015,0.0390725,36.8556
dataset_1,270,7,0.015,0.034375,0.015,0.0403936,36.8007
dataset_1,271,7,0.015,0.0359375,0.015,0.0417313,36.691
dataset_1,272,7,0.015,0.0375,0.015,0.0430842,36.5003
dataset_1,273,7,0.015,0.0390625,0.015,0.0444509,36.2086
dataset_1,274,7,0.015,0.040625,0.015,0.04583,35.8399
dataset_1,275,7,0.015,0.0421875,0.015,0.0472206,35.4523
dataset_1,276,7,0.015,0.04375,0.015,0.0486216,35.0866
dataset_1,277,7,0.015,0.0453125,0.015,0.0500322,34.7917
dataset_1,278,7,0.015,0.046875,0.015,0.0514516,34.5822
dataset_1,279,7,0.015,0.0484375,0.015,0.052879,34.451
dataset_1,280,0,0,0.01,0.022,0.0241661,45.826
dataset_1,281,0,0,0.01,0.0232819,0.0253386,48.0836
dataset_1,282,0,0,0.01,0.0238886,0.0258972,48.7985
dataset_1,283,0,0,0.01,0.024217,0.0262004,49.0822
dataset_1,284,0,0,0.01,0.0244005,0.0263701,49.1986
dataset_1,285,0,1.54826e-05,0.0100155,0.0246235,0.0265824,49.2883
dataset_1,286,0,5.88724e-05,0.0100589,0.0247354,0.0267025,49.3242
dataset_1,287,0,0.000129124,0.0101291,0.0248353,0.0268218,49.3614
dataset_1,288,0,0.000215089,0.0102151,0.0249109,0.0269248,49.4011
dataset_1,289,0,0.000308003,0.010308,0.0249617,0.027008,49.4409
dataset_1,290,0,0.000403032,0.010403,0.0249905,0.0270723,49.4822
dataset_1,291,0,1.12064e-05,0.0399888,0.0246053,0.0469523,49.0449
dataset_1,292,0,4.43231e-05,0.0399557,0.0247058,0.046977,49.0782
dataset_1,293,0,9.9369e-05,0.0399006,0.0247992,0.0469794,49.1101
dataset_1,294,0,0.000168059,0.0398319,0.0248739,0.0469609,49.1451
dataset_1,295,0,0.000248756,0.0397512,0.0249323,0.0469238,49.1821
dataset_1,296,0,0.000330248,0.0396698,0.0249703,0.0468755,49.2151
dataset_1,297,0,0.000414461,0.0395855,0.0249926,0.0468169,49.2525
dataset_1,298,0,0.0299888,0.0100112,0.0246053,0.0400621,48.9157
dataset_1,299,0,0.0299557,0.0100443,0.0247058,0.0401075,48.9494
dataset_1,300,0,0.0299006,0.0100994,0.0247992,0.0401378,48.9905
dataset_1,301,0,0.0298319,0.0101681,0.0248739,0.0401503,49.0275
dataset_1,302,0,0.0297512,0.0102488,0.0249323,0.0401471,49.0719
dataset_1,303,0,0.0296698,0.0103302,0.0249703,0.0401313,49.1055
dataset_1,304,0,0.0295855,0.0104145,0.0249926,0.0401048,49.1449
dataset_1,305,0,0.0299888,0.0399888,0.0246053,0.0557122,45.3423
dataset_1,306,0,0.0299557,0.0399557,0.0247058,0.0557151,45.3664
dataset_1,307,0,0.0299006,0.0399006,0.0247992,0.0556876,45.3915
dataset_1,308,0,0.0298319,0.0398319,0.0248739,0.0556349,45.4171
dataset_1,309,0,0.0297512,0.0397512,0.0249323,0.05556,45.4469
dataset_1,310,0,0.0296698,0.0396698,0.0249703,0.0554752,45.476
dataset_1,311,0,0.0295855,0.0395855,0.0249926,0.0553801,45.5019
