Points_0,Points_1,Points_2,Temperature
0.000707039,0.0178489,0.025,53.3392
0.000707555,0.0174545,0.025,53.1192
0.000707536,0.0170598,0.025,52.8673
0.000707103,0.016665,0.025,52.6367
0.000705964,0.0162694,0.025,52.4174
0.000706461,0.0158763,0.025,52.1931
0.000706271,0.0154851,0.025,51.9484
0.000706699,0.0150918,0.025,51.7212
0.000708068,0.0146982,0.025,51.4928
0.000704668,0.0143062,0.025,51.2617
0.000703672,0.0139131,0.025,51.0402
0.000706837,0.0135172,0.025,50.8291
0.000709999,0.0131226,0.025,50.607
0.000707559,0.012727,0.025,50.4105
0.000705817,0.0123329,0.025,50.2246
0.000699373,0.0119436,0.025,50.0474
0.000696119,0.011555,0.025,49.8978
0.000719107,0.0111452,0.025,49.7453
0.000646307,0.0107422,0.025,49.6187
0.000790693,0.0106568,0.025,49.6473
0.00114752,0.0106583,0.025,49.7727
0.00153773,0.0106776,0.025,49.9287
0.00193582,0.0106888,0.025,50.0972
0.00233668,0.0106867,0.025,50.2543
0.00273442,0.0106854,0.025,50.4057
0.00313393,0.0106901,0.025,50.5674
0.00352786,0.0106715,0.025,50.7094
0.00392065,0.0106776,0.025,50.8475
0.00431727,0.010683,0.025,50.9777
0.00471453,0.0106876,0.025,51.1087
0.00511126,0.0106801,0.025,51.2339
0.00550754,0.0106853,0.025,51.3498
0.00590514,0.0106785,0.025,51.4679
0.00629414,0.0106753,0.025,51.5979
0.00668705,0.0106795,0.025,51.6969
0.00708453,0.010686,0.025,51.8061
0.00748372,0.0106893,0.025,51.9146
0.0078867,0.0106903,0.025,52.0173
0.00827847,0.0106749,0.025,52.0982
0.00867251,0.0106863,0.025,52.1782
0.00906727,0.010673,0.025,52.2621
0.00946456,0.0106826,0.025,52.3367
0.00985768,0.0106866,0.025,52.3822
0.0102557,0.0106844,0.025,52.4357
0.0106562,0.0106794,0.025,52.4954
0.011046,0.0106686,0.025,52.538
0.0114352,0.0106888,0.025,52.5635
0.0118394,0.0106947,0.025,52.5763
0.0122407,0.0106816,0.025,52.5922
0.0126319,0.0106726,0.025,52.6162
0.0130272,0.0106772,0.025,52.6136
